year,date,stage,where,team,result,goals_scored,goals_conceded
1930,13 Jul 1930 - 15:00,Group 1,home,France,3,4,1
1930,13 Jul 1930 - 15:00,Group 4,home,USA,3,3,0
1930,14 Jul 1930 - 12:45,Group 2,home,Yugoslavia,3,2,1
1930,14 Jul 1930 - 14:50,Group 3,home,Romania,3,3,1
1930,15 Jul 1930 - 16:00,Group 1,home,Argentina,3,1,0
1930,16 Jul 1930 - 14:45,Group 1,home,Chile,3,3,0
1930,17 Jul 1930 - 12:45,Group 2,home,Yugoslavia,3,4,0
1930,17 Jul 1930 - 14:45,Group 4,home,USA,3,3,0
1930,18 Jul 1930 - 14:30,Group 3,home,Uruguay,3,1,0
1930,19 Jul 1930 - 12:50,Group 1,home,Chile,3,1,0
1930,19 Jul 1930 - 15:00,Group 1,home,Argentina,3,6,3
1930,20 Jul 1930 - 13:00,Group 2,home,Brazil,3,4,0
1930,20 Jul 1930 - 15:00,Group 4,home,Paraguay,3,1,0
1930,21 Jul 1930 - 14:50,Group 3,home,Uruguay,3,4,0
1930,22 Jul 1930 - 14:45,Group 1,home,Argentina,3,3,1
1950,24 Jun 1950 - 15:00,Group 1,home,Brazil,3,4,0
1950,25 Jun 1950 - 15:00,Group 2,home,England,3,2,0
1950,25 Jun 1950 - 15:00,Group 2,home,Spain,3,3,1
1950,25 Jun 1950 - 15:00,Group 3,home,Sweden,3,3,2
1950,25 Jun 1950 - 15:00,Group 1,home,Yugoslavia,3,3,0
1950,28 Jun 1950 - 15:00,Group 1,home,Brazil,1,2,2
1950,28 Jun 1950 - 15:00,Group 1,home,Yugoslavia,3,4,1
1950,29 Jun 1950 - 15:00,Group 2,home,Spain,3,2,0
1950,29 Jun 1950 - 15:30,Group 3,home,Sweden,1,2,2
1950,29 Jun 1950 - 15:00,Group 2,home,USA,3,1,0
1950,01 Jul 1950 - 15:00,Group 1,home,Brazil,3,2,0
1950,02 Jul 1950 - 15:00,Group 2,home,Spain,3,1,0
1950,02 Jul 1950 - 15:00,Group 3,home,Italy,3,2,0
1950,02 Jul 1950 - 15:00,Group 4,home,Uruguay,3,8,0
1950,02 Jul 1950 - 15:40,Group 1,home,Switzerland,3,2,1
1950,02 Jul 1950 - 15:00,Group 2,home,Chile,3,5,2
1950,09 Jul 1950 - 15:00,Group 6,home,Uruguay,1,2,2
1950,09 Jul 1950 - 15:00,Group 6,home,Brazil,3,7,1
1950,13 Jul 1950 - 15:00,Group 6,home,Brazil,3,6,1
1950,13 Jul 1950 - 15:00,Group 6,home,Uruguay,3,3,2
1950,16 Jul 1950 - 15:00,Group 6,home,Sweden,3,3,1
1950,16 Jul 1950 - 15:00,Group 6,home,Uruguay,3,2,1
1954,16 Jun 1954 - 18:00,Group 3,home,Uruguay,3,2,0
1954,16 Jun 1954 - 18:00,Group 3,home,Austria,3,1,0
1954,16 Jun 1954 - 18:00,Group 1,home,Brazil,3,5,0
1954,16 Jun 1954 - 18:00,Group 1,home,Yugoslavia,3,1,0
1954,17 Jun 1954 - 18:00,Group 2,home,Germany FR,3,4,1
1954,17 Jun 1954 - 18:00,Group 2,home,Hungary,3,9,0
1954,17 Jun 1954 - 18:10,Group 4,home,England,1,4,4
1954,17 Jun 1954 - 17:50,Group 4,home,Switzerland,3,2,1
1954,19 Jun 1954 - 16:50,Group 3,home,Uruguay,3,7,0
1954,19 Jun 1954 - 17:00,Group 3,home,Austria,3,5,0
1954,19 Jun 1954 - 17:10,Group 1,home,France,3,3,2
1954,19 Jun 1954 - 17:00,Group 1,home,Brazil,1,1,1
1954,20 Jun 1954 - 16:50,Group 2,home,Hungary,3,8,3
1954,20 Jun 1954 - 17:00,Group 2,home,Turkey,3,7,0
1954,20 Jun 1954 - 17:10,Group 4,home,England,3,2,0
1954,20 Jun 1954 - 17:00,Group 4,home,Italy,3,4,1
1954,23 Jun 1954 - 18:00,Group 2,home,Germany FR,3,7,2
1954,23 Jun 1954 - 18:00,Group 4,home,Switzerland,3,4,1
1958,08 Jun 1958 - 14:00,Group 3,home,Sweden,3,3,0
1958,08 Jun 1958 - 19:00,Group 4,home,Soviet Union,1,2,2
1958,08 Jun 1958 - 19:00,Group 1,home,Argentina,0,1,3
1958,08 Jun 1958 - 19:00,Group 3,home,Hungary,1,1,1
1958,08 Jun 1958 - 19:00,Group 2,home,France,3,7,3
1958,08 Jun 1958 - 19:00,Group 2,home,Yugoslavia,1,1,1
1958,08 Jun 1958 - 19:00,Group 4,home,Brazil,3,3,0
1958,08 Jun 1958 - 19:00,Group 1,home,Northern Ireland,3,1,0
1958,11 Jun 1958 - 19:00,Group 4,home,Brazil,1,0,0
1958,11 Jun 1958 - 19:00,Group 3,home,Mexico,1,1,1
1958,11 Jun 1958 - 19:00,Group 2,home,Paraguay,3,3,2
1958,11 Jun 1958 - 19:00,Group 2,home,Yugoslavia,3,3,2
1958,11 Jun 1958 - 19:00,Group 4,home,Soviet Union,3,2,0
1958,11 Jun 1958 - 19:00,Group 1,home,Germany FR,1,2,2
1958,11 Jun 1958 - 19:00,Group 1,home,Argentina,3,3,1
1958,12 Jun 1958 - 19:00,Group 3,home,Sweden,3,2,1
1958,15 Jun 1958 - 14:00,Group 3,home,Sweden,1,0,0
1958,15 Jun 1958 - 19:00,Group 4,home,Brazil,3,2,0
1958,15 Jun 1958 - 19:00,Group 1,home,Germany FR,1,2,2
1958,15 Jun 1958 - 19:00,Group 3,home,Hungary,3,4,0
1958,15 Jun 1958 - 19:00,Group 2,home,Paraguay,1,3,3
1958,15 Jun 1958 - 19:00,Group 2,home,France,3,2,1
1958,15 Jun 1958 - 19:00,Group 4,home,England,1,2,2
1958,15 Jun 1958 - 19:00,Group 1,home,Czechoslovakia,3,6,1
1958,17 Jun 1958 - 19:00,Group 4,home,Soviet Union,3,1,0
1958,17 Jun 1958 - 19:00,Group 1,home,Northern Ireland,3,2,1
1958,17 Jun 1958 - 19:00,Group 3,home,Wales,3,2,1
1962,30 May 1962 - 15:00,Group 1,home,Uruguay,3,2,1
1962,30 May 1962 - 15:00,Group 3,home,Brazil,3,2,0
1962,30 May 1962 - 15:00,Group 4,home,Argentina,3,1,0
1962,30 May 1962 - 15:00,Group 2,home,Chile,3,3,1
1962,31 May 1962 - 15:00,Group 1,home,Soviet Union,3,2,0
1962,31 May 1962 - 15:00,Group 3,home,Czechoslovakia,3,1,0
1962,31 May 1962 - 15:00,Group 4,home,Hungary,3,2,1
1962,31 May 1962 - 15:00,Group 2,home,Germany FR,1,0,0
1962,02 Jun 1962 - 15:00,Group 1,home,Yugoslavia,3,3,1
1962,02 Jun 1962 - 15:00,Group 3,home,Brazil,1,0,0
1962,02 Jun 1962 - 15:00,Group 4,home,England,3,3,1
1962,02 Jun 1962 - 15:00,Group 2,home,Chile,3,2,0
1962,03 Jun 1962 - 15:00,Group 1,home,Soviet Union,1,4,4
1962,03 Jun 1962 - 15:00,Group 3,home,Spain,3,1,0
1962,03 Jun 1962 - 15:00,Group 4,home,Hungary,3,6,1
1962,03 Jun 1962 - 15:00,Group 2,home,Germany FR,3,2,1
1962,06 Jun 1962 - 15:00,Group 1,home,Soviet Union,3,2,1
1962,06 Jun 1962 - 15:00,Group 3,home,Brazil,3,2,1
1962,06 Jun 1962 - 15:00,Group 4,home,Hungary,1,0,0
1962,06 Jun 1962 - 15:00,Group 2,home,Germany FR,3,2,0
1962,07 Jun 1962 - 15:00,Group 1,home,Yugoslavia,3,5,0
1962,07 Jun 1962 - 15:00,Group 3,home,Mexico,3,3,1
1962,07 Jun 1962 - 15:00,Group 4,home,England,1,0,0
1962,07 Jun 1962 - 15:00,Group 2,home,Italy,3,3,0
1966,11 Jul 1966 - 19:30,Group 1,home,England,1,0,0
1966,12 Jul 1966 - 19:30,Group 2,home,Germany FR,3,5,0
1966,12 Jul 1966 - 19:30,Group 3,home,Brazil,3,2,0
1966,12 Jul 1966 - 19:30,Group 4,home,Soviet Union,3,3,0
1966,13 Jul 1966 - 19:30,Group 1,home,France,1,1,1
1966,13 Jul 1966 - 19:30,Group 3,home,Portugal,3,3,1
1966,13 Jul 1966 - 19:30,Group 2,home,Argentina,3,2,1
1966,13 Jul 1966 - 19:30,Group 4,home,Italy,3,2,0
1966,15 Jul 1966 - 19:30,Group 1,home,Uruguay,3,2,1
1966,15 Jul 1966 - 19:30,Group 2,home,Spain,3,2,1
1966,15 Jul 1966 - 19:30,Group 3,home,Hungary,3,3,1
1966,15 Jul 1966 - 19:30,Group 4,home,Korea DPR,1,1,1
1966,16 Jul 1966 - 15:00,Group 3,home,Portugal,3,3,0
1966,16 Jul 1966 - 15:00,Group 2,home,Germany FR,1,0,0
1966,16 Jul 1966 - 15:00,Group 4,home,Soviet Union,3,1,0
1966,16 Jul 1966 - 19:30,Group 1,home,England,3,2,0
1966,19 Jul 1966 - 16:30,Group 1,home,Uruguay,1,0,0
1966,19 Jul 1966 - 19:30,Group 2,home,Argentina,3,2,0
1966,19 Jul 1966 - 19:30,Group 3,home,Portugal,3,3,1
1966,19 Jul 1966 - 19:30,Group 4,home,Korea DPR,3,1,0
1966,20 Jul 1966 - 19:30,Group 1,home,England,3,2,0
1966,20 Jul 1966 - 19:30,Group 3,home,Hungary,3,3,1
1966,20 Jul 1966 - 19:30,Group 2,home,Germany FR,3,2,1
1966,20 Jul 1966 - 19:30,Group 4,home,Soviet Union,3,2,1
1970,31 May 1970 - 12:00,Group 1,home,Mexico,1,0,0
1970,02 Jun 1970 - 16:00,Group 2,home,Uruguay,3,2,0
1970,02 Jun 1970 - 16:00,Group 4,home,Peru,3,3,2
1970,02 Jun 1970 - 16:00,Group 3,home,England,3,1,0
1970,03 Jun 1970 - 16:00,Group 2,home,Italy,3,1,0
1970,03 Jun 1970 - 16:00,Group 4,home,Germany FR,3,2,1
1970,03 Jun 1970 - 16:00,Group 3,home,Brazil,3,4,1
1970,03 Jun 1970 - 16:00,Group 1,home,Belgium,3,3,0
1970,06 Jun 1970 - 16:00,Group 2,home,Uruguay,1,0,0
1970,06 Jun 1970 - 16:00,Group 4,home,Peru,3,3,0
1970,06 Jun 1970 - 16:00,Group 3,home,Romania,3,2,1
1970,06 Jun 1970 - 16:00,Group 1,home,Soviet Union,3,4,1
1970,07 Jun 1970 - 12:00,Group 2,home,Sweden,1,1,1
1970,07 Jun 1970 - 12:00,Group 4,home,Germany FR,3,5,2
1970,07 Jun 1970 - 12:00,Group 3,home,Brazil,3,1,0
1970,07 Jun 1970 - 12:00,Group 1,home,Mexico,3,4,0
1970,10 Jun 1970 - 16:00,Group 2,home,Sweden,3,1,0
1970,10 Jun 1970 - 16:00,Group 4,home,Germany FR,3,3,1
1970,10 Jun 1970 - 16:00,Group 3,home,Brazil,3,3,2
1970,10 Jun 1970 - 16:00,Group 1,home,Soviet Union,3,2,0
1970,11 Jun 1970 - 16:00,Group 2,home,Italy,1,0,0
1970,11 Jun 1970 - 16:00,Group 4,home,Bulgaria,1,1,1
1970,11 Jun 1970 - 16:00,Group 3,home,England,3,1,0
1970,11 Jun 1970 - 16:00,Group 1,home,Mexico,3,1,0
1974,13 Jun 1974 - 17:00,Group 2,home,Brazil,1,0,0
1974,14 Jun 1974 - 16:00,Group 1,home,Germany FR,3,1,0
1974,14 Jun 1974 - 19:30,Group 1,home,German DR,3,2,0
1974,14 Jun 1974 - 19:30,Group 2,home,Zaire,0,0,2
1974,15 Jun 1974 - 16:00,Group 3,home,Uruguay,0,0,2
1974,15 Jun 1974 - 16:00,Group 3,home,Sweden,1,0,0
1974,15 Jun 1974 - 18:00,Group 4,home,Italy,3,3,1
1974,15 Jun 1974 - 18:00,Group 4,home,Poland,3,3,2
1974,18 Jun 1974 - 16:00,Group 1,home,Australia,0,0,3
1974,18 Jun 1974 - 19:30,Group 2,home,Scotland,1,0,0
1974,18 Jun 1974 - 19:30,Group 1,home,Chile,1,1,1
1974,18 Jun 1974 - 19:30,Group 2,home,Yugoslavia,3,9,0
1974,19 Jun 1974 - 19:30,Group 3,home,Netherlands,1,0,0
1974,19 Jun 1974 - 19:30,Group 3,home,Bulgaria,1,1,1
1974,19 Jun 1974 - 19:30,Group 4,home,Haiti,0,0,7
1974,19 Jun 1974 - 19:30,Group 4,home,Argentina,1,1,1
1974,22 Jun 1974 - 16:00,Group 2,home,Scotland,1,1,1
1974,22 Jun 1974 - 16:00,Group 1,home,Australia,1,0,0
1974,22 Jun 1974 - 16:00,Group 2,home,Zaire,0,0,3
1974,22 June 1974 - 19:30,Group 1,home,German DR,3,1,0
1974,23 Jun 1974 - 16:00,Group 3,home,Bulgaria,0,1,4
1974,23 Jun 1974 - 16:00,Group 4,home,Argentina,3,4,1
1974,23 Jun 1974 - 16:00,Group 3,home,Sweden,3,3,0
1974,23 Jun 1974 - 16:00,Group 4,home,Poland,3,2,1
1974,26 Jun 1974 - 16:00,Group B,home,Yugoslavia,0,0,2
1974,26 Jun 1974 - 19:30,Group A,home,Brazil,3,1,0
1974,26 Jun 1974 - 19:30,Group A,home,Netherlands,3,4,0
1974,26 Jun 1974 - 19:30,Group B,home,Sweden,0,0,1
1974,30 Jun 1974 - 16:00,Group A,home,Argentina,0,1,2
1974,30 Jun 1974 - 16:00,Group B,home,Poland,3,2,1
1974,30 Jun 1974 - 16:00,Group A,home,German DR,0,0,2
1974,30 Jun 1974 - 19:30,Group B,home,Germany FR,3,4,2
1974,03 Jul 1974 - 17:00,Group B,home,Poland,0,0,1
1974,03 Jul 1974 - 19:30,Group A,home,Netherlands,3,2,0
1974,03 Jul 1974 - 19:30,Group A,home,Argentina,1,1,1
1974,03 Jul 1974 - 19:30,Group B,home,Sweden,3,2,1
1978,01 Jun 1978 - 15:00,Group 2,home,Germany FR,1,0,0
1978,02 Jun 1978 - 13:45,Group 1,home,Italy,3,2,1
1978,02 Jun 1978 - 16:45,Group 2,home,Tunisia,3,3,1
1978,02 Jun 1978 - 19:15,Group 1,home,Argentina,3,2,1
1978,03 Jun 1978 - 13:45,Group 3,home,Sweden,1,1,1
1978,03 Jun 1978 - 13:45,Group 3,home,Austria,3,2,1
1978,03 Jun 1978 - 16:45,Group 4,home,Peru,3,3,1
1978,03 Jun 1978 - 16:45,Group 4,home,Netherlands,3,3,0
1978,06 Jun 1978 - 13:45,Group 1,home,Italy,3,3,1
1978,06 Jun 1978 - 16:45,Group 2,home,Poland,3,1,0
1978,06 Jun 1978 - 16:45,Group 2,home,Germany FR,3,6,0
1978,06 Jun 1978 - 19:15,Group 1,home,Argentina,3,2,1
1978,07 Jun 1978 - 13:45,Group 3,home,Brazil,1,0,0
1978,07 Jun 1978 - 13:45,Group 3,home,Austria,3,1,0
1978,07 Jun 1978 - 16:45,Group 4,home,Scotland,1,1,1
1978,07 Jun 1978 - 16:45,Group 4,home,Netherlands,1,0,0
1978,10 Jun 1978 - 15:10,Group 1,home,France,3,3,1
1978,10 Jun 1978 - 16:45,Group 2,home,Poland,3,3,1
1978,10 Jun 1978 - 16:45,Group 2,home,Germany FR,1,0,0
1978,10 Jun 1978 - 19:15,Group 1,home,Italy,3,1,0
1978,11 Jun 1978 - 13:45,Group 3,home,Brazil,3,1,0
1978,11 Jun 1978 - 13:45,Group 3,home,Spain,3,1,0
1978,11 Jun 1978 - 16:45,Group 4,home,Peru,3,4,1
1978,11 Jun 1978 - 16:45,Group 4,home,Scotland,3,3,2
1978,14 Jun 1978 - 13:45,Group A,home,Germany FR,1,0,0
1978,14 Jun 1978 - 13:45,Group A,home,Netherlands,3,5,1
1978,14 Jun 1978 - 16:45,Group B,home,Brazil,3,3,0
1978,14 Jun 1978 - 19:15,Group B,home,Argentina,3,2,0
1978,18 Jun 1978 - 13:45,Group B,home,Poland,3,1,0
1978,18 Jun 1978 - 16:45,Group A,home,Italy,3,1,0
1978,18 Jun 1978 - 16:45,Group A,home,Germany FR,1,2,2
1978,18 Jun 1978 - 19:15,Group B,home,Argentina,1,0,0
1978,21 Jun 1978 - 13:45,Group A,home,Netherlands,3,2,1
1978,21 Jun 1978 - 13:45,Group A,home,Austria,3,3,2
1978,21 Jun 1978 - 16:45,Group B,home,Brazil,3,3,1
1978,21 Jun 1978 - 19:15,Group B,home,Argentina,3,6,0
1982,13 Jun 1982 - 20:00,Group 3,home,Argentina,0,0,1
1982,14 Jun 1982 - 17:15,Group 1,home,Italy,1,0,0
1982,14 Jun 1982 - 21:00,Group 6,home,Brazil,3,2,1
1982,15 Jun 1982 - 17:15,Group 1,home,Peru,1,0,0
1982,15 Jun 1982 - 21:00,Group 3,home,Hungary,3,10,1
1982,15 Jun 1982 - 21:00,Group 6,home,Scotland,3,5,2
1982,16 Jun 1982 - 17:15,Group 2,home,Germany FR,0,1,2
1982,16 Jun 1982 - 17:15,Group 4,home,England,3,3,1
1982,16 Jun 1982 - 21:00,Group 5,home,Spain,1,1,1
1982,17 Jun 1982 - 17:15,Group 2,home,Chile,0,0,1
1982,17 Jun 1982 - 17:45,Group 4,home,Czechoslovakia,1,1,1
1982,17 Jun 1982 - 21:00,Group 5,home,Yugoslavia,1,0,0
1982,18 Jun 1982 - 17:15,Group 1,home,Italy,1,1,1
1982,18 Jun 1982 - 21:00,Group 3,home,Argentina,3,4,1
1982,18 Jun 1982 - 21:00,Group 6,home,Brazil,3,4,1
1982,19 Jun 1982 - 19:15,Group 1,home,Poland,1,0,0
1982,19 Jun 1982 - 21:00,Group 3,home,Belgium,3,1,0
1982,19 Jun 1982 - 21:00,Group 6,home,Soviet Union,3,3,0
1982,20 Jun 1982 - 17:15,Group 2,home,Germany FR,3,4,1
1982,20 Jun 1982 - 17:15,Group 4,home,England,3,2,0
1982,20 Jun 1982 - 21:00,Group 5,home,Spain,3,2,1
1982,21 Jun 1982 - 17:15,Group 2,home,Algeria,0,0,2
1982,21 Jun 1982 - 17:15,Group 4,home,France,3,4,1
1982,21 Jun 1982 - 21:00,Group 5,home,Honduras,1,1,1
1982,22 Jun 1982 - 17:15,Group 1,home,Poland,3,5,1
1982,22 Jun 1982 - 21:00,Group 3,home,Belgium,1,1,1
1982,22 Jun 1982 - 21:00,Group 6,home,Soviet Union,1,2,2
1982,23 Jun 1982 - 17:15,Group 1,home,Italy,1,1,1
1982,23 Jun 1982 - 21:00,Group 3,home,Argentina,3,2,0
1982,23 Jun 1982 - 21:00,Group 6,home,Brazil,3,4,0
1982,24 Jun 1982 - 17:15,Group 2,home,Algeria,3,3,2
1982,24 Jun 1982 - 17:15,Group 4,home,France,1,1,1
1982,24 Jun 1982 - 21:00,Group 5,home,Honduras,0,0,1
1982,25 Jun 1982 - 17:15,Group 2,home,Germany FR,3,1,0
1982,25 Jun 1982 - 17:15,Group 4,home,England,3,1,0
1982,25 Jun 1982 - 21:00,Group 5,home,Northern Ireland,3,1,0
1982,28 Jun 1982 - 17:15,Group 4,home,Austria,0,0,1
1982,28 Jun 1982 - 21:00,Group 1,home,Poland,3,3,0
1982,29 Jun 1982 - 17:15,Group 3,home,Italy,3,2,1
1982,29 Jun 1982 - 21:00,Group 2,home,Germany FR,1,0,0
1982,01 Jul 1982 - 17:15,Group 4,home,Austria,1,2,2
1982,01 Jul 1982 - 21:00,Group 1,home,Belgium,0,0,1
1982,02 Jul 1982 - 17:15,Group 3,home,Argentina,0,1,3
1982,02 Jul 1982 - 21:00,Group 2,home,Germany FR,3,2,1
1982,04 Jul 1982 - 17:15,Group 4,home,France,3,4,1
1982,04 Jul 1982 - 21:00,Group 1,home,Poland,1,0,0
1982,05 Jul 1982 - 17:15,Group 3,home,Italy,3,3,2
1982,05 Jul 1982 - 21:00,Group 2,home,Spain,1,0,0
1986,31 May 1986 - 12:00,Group A,home,Bulgaria,1,1,1
1986,01 Jun 1986 - 16:00,Group C,home,Canada,0,0,1
1986,01 Jun 1986 - 12:00,Group D,home,Spain,0,0,1
1986,02 Jun 1986 - 12:00,Group C,home,Soviet Union,3,6,0
1986,02 Jun 1986 - 12:00,Group A,home,Argentina,3,3,1
1986,02 Jun 1986 - 16:00,Group F,home,Morocco,1,0,0
1986,03 Jun 1986 - 12:00,Group D,home,Algeria,1,1,1
1986,03 Jun 1986 - 12:00,Group B,home,Belgium,0,1,2
1986,03 Jun 1986 - 16:00,Group F,home,Portugal,3,1,0
1986,04 Jun 1986 - 12:00,Group B,home,Paraguay,3,1,0
1986,04 Jun 1986 - 16:00,Group E,home,Scotland,0,0,1
1986,04 Jun 1986 - 12:00,Group E,home,Uruguay,1,1,1
1986,05 Jun 1986 - 12:00,Group A,home,Italy,1,1,1
1986,05 Jun 1986 - 12:00,Group C,home,France,1,1,1
1986,05 Jun 1986 - 16:00,Group A,home,Korea Republic,1,1,1
1986,06 Jun 1986 - 12:00,Group C,home,Hungary,3,2,0
1986,06 Jun 1986 - 12:00,Group D,home,Brazil,3,1,0
1986,06 Jun 1986 - 16:00,Group F,home,England,1,0,0
1986,07 Jun 1986 - 12:00,Group D,home,Northern Ireland,0,1,2
1986,07 Jun 1986 - 12:00,Group B,home,Mexico,1,1,1
1986,07 Jun 1986 - 16:00,Group F,home,Poland,3,1,0
1986,08 Jun 1986 - 12:00,Group B,home,Iraq,0,1,2
1986,08 Jun 1986 - 16:00,Group E,home,Denmark,3,6,1
1986,08 Jun 1986 - 12:00,Group E,home,Germany FR,3,2,1
1986,09 Jun 1986 - 12:00,Group C,home,Hungary,0,0,3
1986,09 Jun 1986 - 12:00,Group C,home,Soviet Union,3,2,0
1986,10 Jun 1986 - 12:00,Group A,home,Korea Republic,0,2,3
1986,10 Jun 1986 - 12:00,Group A,home,Argentina,3,2,0
1986,11 Jun 1986 - 12:00,Group B,home,Paraguay,1,2,2
1986,11 Jun 1986 - 12:00,Group B,home,Iraq,0,0,1
1986,11 Jun 1986 - 16:00,Group F,home,Portugal,0,1,3
1986,11 Jun 1986 - 16:00,Group F,home,England,3,3,0
1986,12 Jun 1986 - 12:00,Group D,home,Northern Ireland,0,0,3
1986,12 Jun 1986 - 12:00,Group D,home,Algeria,0,0,3
1986,13 Jun 1986 - 12:00,Group E,home,Scotland,1,0,0
1986,13 Jun 1986 - 12:00,Group E,home,Denmark,3,2,0
1990,08 Jun 1990 - 18:00,Group B,home,Argentina,0,0,1
1990,09 Jun 1990 - 17:00,Group B,home,Soviet Union,0,0,2
1990,09 Jun 1990 - 17:00,Group D,home,"rn"">United Arab Emirates",0,0,2
1990,09 Jun 1990 - 21:00,Group A,home,Italy,3,1,0
1990,10 Jun 1990 - 17:00,Group A,home,USA,0,1,5
1990,10 Jun 1990 - 21:00,Group C,home,Brazil,3,2,1
1990,10 Jun 1990 - 21:00,Group D,home,Germany FR,3,4,1
1990,11 Jun 1990 - 17:00,Group C,home,Costa Rica,3,1,0
1990,11 Jun 1990 - 21:00,Group F,home,England,1,1,1
1990,12 Jun 1990 - 17:00,Group E,home,Belgium,3,2,0
1990,12 Jun 1990 - 21:00,Group F,home,Netherlands,1,1,1
1990,13 Jun 1990 - 17:00,Group E,home,Uruguay,1,0,0
1990,13 Jun 1990 - 21:00,Group B,home,Argentina,3,2,0
1990,14 Jun 1990 - 17:00,Group B,home,Cameroon,3,2,1
1990,14 Jun 1990 - 17:00,Group D,home,Yugoslavia,3,1,0
1990,14 Jun 1990 - 21:00,Group A,home,Italy,3,1,0
1990,15 Jun 1990 - 17:00,Group A,home,Austria,0,0,1
1990,15 Jun 1990 - 21:00,Group D,home,Germany FR,3,5,1
1990,16 Jun 1990 - 17:00,Group C,home,Brazil,3,1,0
1990,16 Jun 1990 - 21:00,Group C,home,Sweden,0,1,2
1990,16 Jun 1990 - 21:00,Group F,home,England,1,0,0
1990,17 Jun 1990 - 17:00,Group F,home,"rn"">Republic of Ireland",1,0,0
1990,17 Jun 1990 - 21:00,Group E,home,Korea Republic,0,1,3
1990,17 Jun 1990 - 21:00,Group E,home,Belgium,3,3,1
1990,18 Jun 1990 - 21:00,Group B,home,Argentina,1,1,1
1990,18 Jun 1990 - 21:00,Group B,home,Cameroon,0,0,4
1990,19 Jun 1990 - 17:00,Group D,home,Germany FR,1,1,1
1990,19 Jun 1990 - 17:00,Group D,home,Yugoslavia,3,4,1
1990,19 Jun 1990 - 21:00,Group A,home,Italy,3,2,0
1990,19 Jun 1990 - 21:00,Group A,home,Austria,3,2,1
1990,20 Jun 1990 - 21:00,Group C,home,Brazil,3,1,0
1990,20 Jun 1990 - 21:00,Group C,home,Sweden,0,1,2
1990,21 Jun 1990 - 17:00,Group E,home,Korea Republic,0,0,1
1990,21 Jun 1990 - 17:00,Group E,home,Belgium,0,1,2
1990,21 Jun 1990 - 21:00,Group F,home,"rn"">Republic of Ireland",1,1,1
1990,21 Jun 1990 - 21:00,Group F,home,England,3,1,0
1994,17 Jun 1994 - 19:30,Group C,home,Spain,1,2,2
1994,17 Jun 1994 - 15:00,Group C,home,Germany,3,1,0
1994,18 Jun 1994 - 11:30,Group A,home,USA,1,1,1
1994,18 Jun 1994 - 16:00,Group E,home,Italy,0,0,1
1994,18 Jun 1994 - 19:30,Group A,home,Colombia,0,1,3
1994,19 Jun 1994 - 12:30,Group F,home,Belgium,3,1,0
1994,19 Jun 1994 - 16:00,Group E,home,Norway,3,1,0
1994,19 Jun 1994 - 19:30,Group B,home,Cameroon,1,2,2
1994,20 Jun 1994 - 19:30,Group F,home,Netherlands,3,2,1
1994,20 Jun 1994 - 16:00,Group B,home,Brazil,3,2,0
1994,21 Jun 1994 - 12:30,Group D,home,Argentina,3,4,0
1994,21 Jun 1994 - 19:30,Group D,home,Nigeria,3,3,0
1994,21 Jun 1994 - 16:00,Group C,home,Germany,1,1,1
1994,22 Jun 1994 - 16:00,Group A,home,Romania,0,1,4
1994,22 Jun 1994 - 19:30,Group A,home,USA,3,2,1
1994,23 Jun 1994 - 16:00,Group E,home,Italy,3,1,0
1994,23 Jun 1994 - 19:30,Group C,home,Korea Republic,1,0,0
1994,24 Jun 1994 - 12:30,Group E,home,Mexico,3,2,1
1994,24 Jun 1994 - 19:30,Group B,home,Sweden,3,3,1
1994,24 Jun 1994 - 16:00,Group B,home,Brazil,3,3,0
1994,25 Jun 1994 - 12:30,Group F,home,Belgium,3,1,0
1994,25 Jun 1994 - 12:30,Group F,home,Saudi Arabia,3,2,1
1994,25 Jun 1994 - 16:00,Group D,home,Argentina,3,2,1
1994,26 Jun 1994 - 12:30,Group D,home,Bulgaria,3,4,0
1994,26 Jun 1994 - 16:00,Group A,home,USA,0,0,1
1994,26 Jun 1994 - 16:00,Group A,home,Switzerland,0,0,2
1994,27 Jun 1994 - 16:00,Group C,home,Germany,3,3,2
1994,27 Jun 1994 - 16:00,Group C,home,Bolivia,0,1,3
1994,28 Jun 1994 - 12:30,Group E,home,"rn"">Republic of Ireland",1,0,0
1994,28 Jun 1994 - 16:00,Group B,home,Brazil,1,1,1
1994,28 Jun 1994 - 12:30,Group E,home,Italy,1,1,1
1994,28 Jun 1994 - 16:00,Group B,home,Russia,3,6,1
1994,29 Jun 1994 - 12:30,Group F,home,Morocco,0,1,2
1994,29 Jun 1994 - 12:30,Group F,home,Belgium,0,0,1
1994,30 Jun 1994 - 19:30,Group D,home,Greece,0,0,2
1994,30 Jun 1994 - 19:30,Group D,home,Argentina,0,0,2
1998,10 Jun 1998 - 17:30,Group A,home,Brazil,3,2,1
1998,10 Jun 1998 - 21:00,Group A,home,Morocco,1,2,2
1998,11 Jun 1998 - 17:30,Group B,home,Italy,1,2,2
1998,11 Jun 1998 - 21:00,Group B,home,Cameroon,1,1,1
1998,12 Jun 1998 - 14:30,Group D,home,Paraguay,1,0,0
1998,12 Jun 1998 - 17:30,Group C,home,Saudi Arabia,0,0,1
1998,12 Jun 1998 - 21:00,Group C,home,France,3,3,0
1998,13 Jun 1998 - 14:30,Group D,home,Spain,0,2,3
1998,13 Jun 1998 - 17:30,Group E,home,Korea Republic,0,1,3
